SpecCode,Species,autoctr,StockCode,EcologyRefNo,HabitatsRef,Neritic,SupraLittoralZone,Saltmarshes,LittoralZone,TidePools,Intertidal,SubLittoral,Caves,Oceanic,Epipelagic,Mesopelagic,Bathypelagic,Abyssopelagic,Hadopelagic,Estuaries,Mangroves,MarshesSwamps,CaveAnchialine,Stream,Lakes,Cave,Cave2,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,AddRems,AssociationRef,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,SchoolingFrequency,SchoolingLifestage,Shoaling,ShoalingFrequency,ShoalingLifestage,SchoolShoalRef,AssociationsWith,AssociationsRemarks,OutsideHost,OHRemarks,InsideHost,IHRemarks,SubstrateRef,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,SpecialHabitatRef,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,ReefExclusive,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Crevices,Vents,Seamounts,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,OIRemarks,Verterbrates,VRemarks,Pilings,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS
4739,Acanthurus nigrofuscus,2681,4963,6110,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),6110,browsing on substrate,6110,2,0,2,0,Troph of juv./adults from 1 study.,6110,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,NA,"Found on hard substrates of shallow lagoon and seaward reefs from the lower surge zone to a depth of more than 15 m.  Herbivorous, feeds on filamentous Ref. 43650) and turf algae (Ref. 59111).  Form spawning aggregations (Ref. 27825, 48637).  Adults usually in small groups, but form large schools in some oceanic locations.  Juveniles are often seen in mixed species aggregations (Ref. 48637).  A species at the bottom of the 'pecking order' among surgeon fishes, and as a result employs the strategy of feeding in large schools that overwhelm the territorial defenses of other herbivores (Ref. 1602).  
During feeding, each bite is characterized by a quick nip at algal filaments, usually followed by a sidewards flick of the head.  The jaws bear several broad multidenticulate teeth which  appear engage turf algal strands either sheared during mouth closure or torn off as the head flicks sideways (Ref. 59059).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,58534,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,1994-01-22T00:00:00Z,1472,2008-03-14T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,Acanthurus olivaceus,2685,4968,1920,1920,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),6110,grazing on aquatic plants,6110,NA,NA,2.2,0.17,NA,6110,2.26,0.17,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Species usually found in fairly deep water, about 30 feet or more.",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,58652,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,14,1991-12-04T00:00:00Z,1472,2007-09-04T00:00:00Z,NA,NA,NA
4742,Acanthurus pyroferus,2684,4966,33482,33482,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),33482,browsing on substrate,NA,NA,NA,NA,NA,NA,NA,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,2000-03-02T00:00:00Z,1472,2007-09-04T00:00:00Z,NA,NA,NA
4734,Acanthurus thompsoni,2677,4958,13550,13550,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),13550,selective plankton feeding,NA,NA,NA,3.41,0.4,NA,13550,3.64,0.41,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"This occasionally schooling species occurs in steep outer reef slopes and drop-offs (Ref. 1602).  Feeds on zooplankton, particularly large gelatinous forms, and on fish eggs and crustaceans (Ref. 13550).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,58534,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,1997-10-27T00:00:00Z,1472,2007-10-18T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,1003,1277,1920,4887,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),275,grazing on aquatic plants,275,NA,NA,NA,NA,NA,NA,2.78,0.35,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Occur in lagoon and seaward reefs with hard substrate; young abundant in tide pools (Ref. 3145, 48637).  Often feeding near freshwater run-offs where certain algae grow on rocks that are grazed (Ref. 48637).  Feed on filamentous algae in large aggregations.  Roving herbivore (Ref. 57615).  Also Ref. 58534, 58652.",NA,0,-1,0,0,0,0,0,-1,NA,NA,0,NA,NA,NA,"Forms large schools, but also seen solitary or in small groups (Ref. 4887).",NA,0,NA,0,NA,53568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,57615,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,14,1991-12-02T00:00:00Z,1472,2007-09-04T00:00:00Z,NA,NA,NA
1250,Aetobatus narinari,993,1266,33,NA,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),33,hunting macrofauna (predator),33,4.17,0.128,3.25,0.49,Troph of juv./adults from 2 studies.,33,3.32,0.43,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Commonly found in shallow inshore waters such as bays and coral reefs but may cross oceanic basins (Ref. 9862).  Benthopelagic, found near land at 1-60 m (Ref. 58302).  Sometimes enters estuaries (Ref. 6871).  Swims close to the surface, occasionally leaping out of the water, or close to the bottom (Ref. 3175).  Frequently forming large schools during the non-breeding season (Ref. 7251).  Feeds mainly on bivalves but also eats shrimps, crabs, octopus and worms, whelks, and small fishes (Ref. 9862).  A carnivore (Ref. 9137).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,1995-04-01T00:00:00Z,2,2015-03-20T00:00:00Z,574,2001-05-24T00:00:00Z,NA
4275,Aluterus scriptus,2080,4471,33,57616,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),33,variable,33,2.81,0.37,2.76,0.45,Troph of juv./adults from 1 study.,33,3.02,0.19,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits lagoon and seaward reefs (Ref. 9710). Occasionally are seen under floating objects (Ref. 1602).  Feeds on algae, seagrass, hydrozoans, gorgonians, colonial anemones, and tunicates. Feeds on benthic invertebrates and plants (Ref. 33).  Omnivore (Ref. 57615, 57616).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,58534,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,1995-04-01T00:00:00Z,1472,2008-01-09T00:00:00Z,NA,NA,NA
6672,Amanses scopas,3935,6993,37816,37816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Occurs in areas of mixed sand, rubble, and coral heads of semi-protected seaward reefs.   Less approachable than most filefishes (Ref. 9710).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,2001-12-10T00:00:00Z,1472,2007-10-18T00:00:00Z,NA,NA,NA
7229,Amblyeleotris fasciata,4135,7390,1602,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderately common in patches of coarse carbonate or volcanic sand of outer lagoon and seaward reefs.,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,2001-11-29T00:00:00Z,1472,2007-09-19T00:00:00Z,NA,NA,NA
7243,Amblygobius nocturnus,4150,7411,37816,37816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Common in areas with fine sand to muddy bottoms at the bases of inner lagoon and coastal reefs.,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,43538,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,2001-12-03T00:00:00Z,1472,2008-04-30T00:00:00Z,NA,NA,NA
7198,Amblygobius phalaena,4089,7327,1602,1602,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),1602,variable,NA,NA,NA,NA,NA,NA,NA,2.74,0.18,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits sandy or rubble areas of subtidal reef flats and lagoons and constructs a burrow under a rock or rubble.  Feeds by sifting mouthfuls of sand and expelling it through the gills, to capture small invertebrates, organic matter, and large quantities of algae.  Feeds on small invertebrates, algae and organic matter (Ref. 1602).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,1999-11-26T00:00:00Z,309,2004-08-16T00:00:00Z,NA,NA,NA
4551,Amphiprion chrysopterus,2583,4736,237,237,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),237,variable,237,2.17,0,2.85,0.16,Troph of juv./adults from 1 study.,237,2.66,0.22,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Occurs inshore (Ref. 75154).  Commensal with a variety of host anemones; usually three to four fish per host, including an adult pair.  Feeds on plants, benthic and planktonic invertebrates (Ref. 237).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,1993-06-21T00:00:00Z,1472,2008-12-22T00:00:00Z,NA,NA,NA
4888,Anampses caeruleopunctatus,2847,5121,6110,6110,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),6110,hunting macrofauna (predator),6110,NA,NA,3.28,0.52,NA,6110,3.37,0.42,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Occupy an inshore habitat, often exposed to surge; may be found in at least 60 feet of water.  Young feed primarily on small crustaceans and polychaetes, adults switch to larger crustaceans and mollusks as well as polychaetes (Ref. 1602).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,58652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,41878,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,14,1992-01-29T00:00:00Z,1472,2008-12-11T00:00:00Z,NA,NA,NA
5622,Anampses melanurus,3305,5916,9710,9710,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),9710,hunting macrofauna (predator),NA,NA,NA,NA,NA,NA,NA,3.35,0.41,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Occurs in seaward reefs (Ref. 1602). Solitary or in pairs in the surge zone, rarely to 30 m (Ref. 9710). Feeds on small crustaceans, mollusks and polychaetes.",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,1999-11-29T00:00:00Z,309,2001-11-23T00:00:00Z,NA,NA,NA
4889,Anampses meleagrides,2848,5122,9137,2677,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),9137,hunting macrofauna (predator),9137,NA,NA,NA,NA,NA,NA,3.5,0.37,Tentative trophic level derived from 1 + troph of a single food item,NA,"Occurs inshore (Ref. 75154).  Found in areas of mixed coral, rubble, consolidated limestone, and sand of seaward reefs (Ref 2677) and coral reefs (Ref. 9137).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,574,2001-07-18T00:00:00Z,1472,2008-12-11T00:00:00Z,NA,NA,NA
