SpecCode,Species,autoctr,StockCode,MaturityRefNo,Sex,AgeMatMin,AgeMatMin2,AgeMatRef,tm,Number,r2,SE_tm,SD_tm,LCL_tm,UCL_tm,LengthMatMin,LengthMatMin2,Type1,LengthMatRef,Lm,SE_Lm,SD_Lm,LCL_Lm,UCL_Lm,Locality,C_Code,E_CODE,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
4739,Acanthurus nigrofuscus,2345,4963,12201,unsexed,NA,NA,12201,2,NA,NA,NA,NA,NA,NA,10,11,FL,12201,NA,NA,NA,NA,NA,"Yankee, Bowl, Dip and Coil reefs, 1992/93",036,NA,NA,3,1996-11-10T00:00:00Z,NA,1998-11-02T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,Acanthurus olivaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4742,Acanthurus pyroferus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4734,Acanthurus thompsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,Acanthurus triostegus,8650,1277,240,unsexed,1,2,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,to be filled,840B,NA,NA,2,2015-04-23T00:00:00Z,NA,2015-04-23T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,4179,1277,48600,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,48600,7.5,NA,NA,NA,NA,"Lakshadweep lagoons, 1993-97",356,NA,NA,3,2003-09-24T00:00:00Z,NA,2003-09-24T00:00:00Z,NA,NA,NA
1250,Aetobatus narinari,1344,1266,6871,unsexed,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not stated.,NA,NA,NA,113,1998-10-10T00:00:00Z,NA,1998-10-10T00:00:00Z,NA,NA,NA
1250,Aetobatus narinari,6494,1266,58048,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,120,WD,NA,NA,NA,NA,NA,NA,not specified,360,NA,NA,1790,2008-02-15T21:55:44Z,NA,2008-02-15T21:55:44Z,NA,NA,NA
1250,Aetobatus narinari,6360,1266,74367,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WD,NA,99.8,NA,NA,NA,NA,eastern Indonesia,360,NA,NA,1790,2008-02-13T20:07:41Z,NA,2008-02-13T20:07:41Z,NA,NA,NA
4275,Aluterus scriptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6672,Amanses scopas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7229,Amblyeleotris fasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7243,Amblygobius nocturnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7198,Amblygobius phalaena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4551,Amphiprion chrysopterus,2256,4736,237,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,SL,NA,NA,NA,NA,NA,NA,Eniwetok Atoll,584,NA,NA,3,1991-09-27T00:00:00Z,NA,1994-09-30T00:00:00Z,NA,NA,NA
4551,Amphiprion chrysopterus,2257,4736,237,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,SL,NA,NA,NA,NA,NA,NA,Eniwetok Atoll,584,NA,NA,3,1991-09-27T00:00:00Z,NA,1994-09-30T00:00:00Z,NA,NA,NA
4888,Anampses caeruleopunctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5622,Anampses melanurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4889,Anampses meleagrides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4893,Anampses twistii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Aphareus furca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Aprion virescens,242,99,6089,female,4,5,37816,NA,NA,NA,NA,NA,NA,NA,42.9,50,FL,6089,44.9,NA,NA,NA,NA,1984-86,840B,NA,NA,3,1993-09-12T00:00:00Z,2,2001-12-13T00:00:00Z,NA,NA,NA
84,Aprion virescens,243,99,7194,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,NA,FL,7194,63,NA,NA,NA,NA,Seychelles,690,NA,50 % of fish mature at 62-64 cm FL.,3,1994-07-02T00:00:00Z,NA,1994-10-01T00:00:00Z,NA,NA,NA
84,Aprion virescens,3520,99,37816,female,4,5,NA,NA,NA,NA,NA,NA,NA,NA,42,48,FL,NA,NA,NA,NA,NA,NA,Hawaii,840B,NA,No specific area.,309,2001-11-13T00:00:00Z,NA,2001-11-13T00:00:00Z,NA,NA,NA
5425,Arothron hispidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6401,Arothron meleagris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6526,Arothron stellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6065,Aspidontus dussumieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6066,Aspidontus taeniatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7247,Asterropteryx ensifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7200,Asterropteryx semipunctata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58618,Asterropteryx striata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17462,Atrosalarias fuscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7559,Atrosalarias holomelas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309,Aulostomus chinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6026,Balistoides viridescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27183,Blenniella paula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5498,Bodianus axillaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7641,Bothus mancus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7282,Bryaninops tigris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Callionymus filamentosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4355,Calotomus carolinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5836,Cantherhines dumerilii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6635,Cantherhines pardalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7835,Cantherhines sandwichiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4278,Canthidermis maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7840,Canthigaster amboinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6541,Canthigaster bennetti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6543,Canthigaster janthinoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6578,Canthigaster solandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6544,Canthigaster valentini,3427,6866,35298,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,5.4,SL,35298,NA,NA,NA,NA,NA,"Lizard Island, northern Great Barrier Reef",036,NA,NA,3,2001-09-07T00:00:00Z,NA,2001-09-07T00:00:00Z,NA,NA,NA
6544,Canthigaster valentini,3429,6866,35298,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.6,SL,35298,NA,NA,NA,NA,NA,"Lizard Island, northern Great Barrier Reef",036,NA,NA,3,2001-09-07T00:00:00Z,NA,2001-09-07T00:00:00Z,NA,NA,NA
7873,Caracanthus maculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12899,Caracanthus unipinna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,Carangoides ferdau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,Carangoides orthogrammus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,Caranx lugubris,1749,2132,26409,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,FL,26415,NA,NA,NA,NA,NA,Not specified.,388,NA,NA,3,1998-04-22T00:00:00Z,NA,1998-04-22T00:00:00Z,NA,NA,NA
1936,Caranx lugubris,1750,2132,26409,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,FL,26415,NA,NA,NA,NA,NA,Not specified.,388,NA,NA,3,1998-04-22T00:00:00Z,NA,1998-04-22T00:00:00Z,NA,NA,NA
1906,Caranx melampygus,1729,2102,6057,female,NA,NA,6057,2,NA,NA,NA,NA,NA,NA,NA,NA,SL,6057,35,NA,NA,NA,NA,Northwestern Islands,840B,NA,NA,3,1993-09-05T00:00:00Z,NA,1993-09-05T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,1087,877,244,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,137,TL,NA,NA,NA,NA,NA,NA,Indo-West Pacific,NA,NA,<i>C. wheeleri</i> 120 TL.,2,1994-03-30T00:00:00Z,14,1999-07-06T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,1088,877,244,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,145,TL,NA,NA,NA,NA,NA,NA,Indo-West Pacific,NA,NA,<i>C. wheeleri</i> 110-130 TL.,2,1994-03-30T00:00:00Z,14,1999-07-06T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,3324,877,37816,unsexed,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,130,140,SL,NA,NA,NA,NA,NA,NA,not specified.,583,NA,NA,309,2001-04-26T00:00:00Z,NA,2001-04-26T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5098,877,56138,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,56138,135,NA,NA,NA,NA,Eastern Indian Ocean,NA,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5099,877,56138,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,TL,56138,NA,NA,NA,NA,NA,Northern Indian Ocean,NA,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5096,877,56138,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,56138,125,NA,NA,NA,NA,not stated,840B,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5094,877,56138,female,NA,NA,56138,7,NA,NA,NA,NA,NA,NA,NA,NA,TL,56138,137,NA,NA,NA,NA,to be filled,840B,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5100,877,56138,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,140,TL,56138,NA,NA,NA,NA,NA,Northern Indian Ocean,NA,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5097,877,56138,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,140,TL,56138,NA,NA,NA,NA,NA,not stated,840B,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,5095,877,56138,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,135,TL,56138,NA,NA,NA,NA,NA,to be filled,840B,NA,NA,2,2006-02-03T00:00:00Z,NA,2006-02-03T00:00:00Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,6406,877,58048,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,140,TL,NA,NA,NA,NA,NA,NA,not specified,360,NA,NA,1790,2008-02-13T23:18:03Z,NA,2008-02-13T23:18:03Z,NA,NA,NA
861,Carcharhinus amblyrhynchos,6407,877,58048,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,135,TL,NA,NA,NA,NA,NA,NA,not specified,360,NA,NA,1790,2008-02-13T23:18:25Z,NA,2008-02-13T23:18:25Z,NA,NA,NA
877,Carcharhinus melanopterus,1140,893,244,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,112,TL,NA,NA,NA,NA,NA,NA,Indo-West Pacific,NA,NA,NA,2,1994-04-05T00:00:00Z,NA,2001-04-21T00:00:00Z,NA,NA,NA
877,Carcharhinus melanopterus,1141,893,244,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,100,TL,NA,NA,NA,NA,NA,NA,Indo-West Pacific,NA,NA,NA,2,1994-04-05T00:00:00Z,NA,1994-04-05T00:00:00Z,NA,NA,NA
877,Carcharhinus melanopterus,1142,893,7205,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,97,TL,7205,NA,NA,NA,NA,NA,Northern waters,036,NA,NA,3,1994-07-03T00:00:00Z,NA,1994-07-03T00:00:00Z,NA,NA,NA
877,Carcharhinus melanopterus,1143,893,7205,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,TL,7205,NA,NA,NA,NA,NA,Northern waters,036,NA,NA,3,1994-07-03T00:00:00Z,NA,1994-07-03T00:00:00Z,NA,NA,NA
877,Carcharhinus melanopterus,3332,893,37816,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,110,TL,NA,NA,NA,NA,NA,NA,not specified.,583,NA,NA,309,2001-05-02T00:00:00Z,NA,2001-05-02T00:00:00Z,NA,NA,NA
877,Carcharhinus melanopterus,6424,893,58048,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,120,TL,NA,NA,NA,NA,NA,NA,not specified,360,NA,NA,1790,2008-02-14T00:01:58Z,NA,2008-02-14T00:01:58Z,NA,NA,NA
877,Carcharhinus melanopterus,6423,893,58048,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,113,TL,NA,NA,NA,NA,NA,NA,not specified,360,NA,NA,1790,2008-02-14T00:01:34Z,NA,2008-02-14T00:01:34Z,NA,NA,NA
5458,Centropyge bispinosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7813,Centropyge fisheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5457,Centropyge flavissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5665,Centropyge heraldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7814,Centropyge loriculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5666,Paracentropyge multifasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6396,Cephalopholis argus,5979,6717,34166,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,TL,34166,NA,NA,NA,NA,NA,Asia-Pacific Region,NA,NA,NA,393,2007-12-21T00:00:00Z,NA,2007-12-21T00:00:00Z,NA,NA,NA
6396,Cephalopholis argus,3458,6717,37816,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,SL,NA,NA,NA,NA,NA,NA,Off east Africa.,NA,NA,No country specified.,309,2001-10-22T00:00:00Z,NA,2001-10-22T00:00:00Z,NA,NA,NA
6453,Cephalopholis sexmaculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6456,Cephalopholis urodeta,5985,6778,34166,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,TL,34166,NA,NA,NA,NA,NA,Asia-Pacific Region,NA,NA,NA,393,2007-12-21T00:00:00Z,NA,2007-12-21T00:00:00Z,NA,NA,NA
66097,Cetoscarus ocellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5557,Chaetodon auriga,4182,5847,48600,unsexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,48600,13,NA,NA,NA,NA,"Lakshadweep lagoons, 1993-97",356,NA,NA,3,2003-09-24T00:00:00Z,NA,2003-09-24T00:00:00Z,NA,NA,NA
5559,Chaetodon bennetti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5561,Chaetodon citrinellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5562,Chaetodon ephippium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5565,Chaetodon lunula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14300,Chaetodon lunulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
